"etnia","partidos","idade_recod","escolaridade","renda","temp_fil","horas","inf_part","inf_pais","inf_voto","mot_cand","mot_asso","mot_amiz","mot_carg","mot_cesp","mot_convic","mot_conviv","mot_emp","mot_opos","mot_reli","mot_trad","pos_ideol","pos_ideol_part","Part_rej","Part_tol","atvc_reuniao","atvc_comicio","atvc_convencao","atvc_eldir","atvc_panfl","atvc_adm","atvc_recrt","atvc_del","atvc_cand","atvc_internet","atvc_rua","estado"
"29",0,"PSD",50,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"30",1,NA,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0,"PSDB",41,0,NA,21,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,10
"32",1,"PL",64,1,3,18,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,8,"8","PT","1","1","1","1","1",NA,NA,NA,"1","1",NA,NA,25
"33",1,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"34",1,"PV",57,1,2,21,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5,"3",NA,"1","1",NA,"1","1",NA,NA,NA,"1","1",NA,NA,16
"35",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"36",0,"PSC",40,1,NA,22,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"37",0,"PTB",45,0,1,13,0,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,"10",NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,13
"38",0,NA,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,"PT",24,1,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,4,"2",NA,"1","1",NA,"1","1","1","1","1","1",NA,"1","1",25
"40",1,"DC",53,0,NA,27,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,NA,NA,NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1","1",6
"41",1,"DEM",49,0,NA,20,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"42",0,"PSDB",48,1,1,8,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,12,"12",NA,"2","1",NA,NA,"1",NA,NA,"1",NA,"1",NA,"1",18
"43",1,"PT",56,0,2,35,1,1,1,0,0,1,NA,0,1,1,1,0,0,0,0,1,"1",NA,"1","1","1","1","1","1","1","1","1","1","1",NA,9
"44",1,"PT",42,1,1,22,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,4,"2",NA,"1","1","1",NA,"1","1","1","1",NA,NA,"1","1",24
"45",0,"DC",60,1,NA,28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"46",0,NA,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",0,"PCdoB",55,1,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"48",1,"PSOL",44,0,1,NA,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,"6",NA,"1","1",NA,"1","1","1","1","1","1","1","1","1",24
"49",1,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",0,"PL",41,1,1,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5,"10","PT","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,11
"51",1,NA,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0,"PT",63,1,1,39,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1",13
"53",0,"PT",42,1,NA,17,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,"1",18
"54",1,"PSL",54,1,2,21,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,9,"9","PT","1","1","1","1","1","1","1","1",NA,"1","1","1",24
"55",1,"PSOL",46,0,1,25,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,"1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,"1","1",16
"56",1,NA,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0,"PSD",48,0,1,20,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,5,"6",NA,"3","1",NA,"1","1","1","1","1",NA,"1",NA,NA,21
"58",1,"PDT",42,1,2,15,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,3,"4",NA,"1","1","1","1","1","1",NA,"1",NA,"1","1","1",13
"59",1,"MDB",56,0,NA,32,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"60",0,"CIDADANIA",38,1,2,9,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5,"5","PT","1","1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,13
"61",1,NA,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,"PSOL",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",0,"PT",42,0,1,22,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,2,"2",NA,"3",NA,NA,"1","1",NA,NA,"1",NA,"1",NA,"1",19
"64",0,"MDB",38,0,1,17,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,"5",NA,"3","1","1","1","1",NA,NA,"1","1","1",NA,NA,5
"65",1,NA,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"66",0,NA,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",0,"AVANTE",81,1,3,53,1,0,0,0,1,0,0,0,NA,1,1,1,0,NA,0,10,"10",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,17
"69",1,"PDT",49,1,2,NA,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,2,"2",NA,"1","1","1","1","1","1","1","1","1","1",NA,"1",21
"70",1,"PODE",32,1,NA,3,1,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"1","1",8
"71",0,"PP",53,1,NA,22,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,NA,NA,NA,NA,"1","1","1","1","1",NA,"1",NA,"1",NA,"1",6
